FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2013-2014,HAMILTON,410702000,HAMPTON LUTHERAN ELEM SCHOOL  ,46,,,,
2013-2014,HARLAN,420002000,ALMA PUBLIC SCHOOLS           ,287,88,41,129,44.95
2013-2014,HAYES,430079000,HAYES CENTER PUBLIC SCHOOLS   ,114,43,10,53,46.49
2013-2014,HITCHCOCK,440070000,HITCHCOCK CO SCH SYSTEM       ,292,116,63,179,61.3
2013-2014,HOLT,450007000,O'NEILL PUBLIC SCHOOLS        ,751,273,96,369,49.13
2013-2014,HOLT,450029000,EWING PUBLIC SCHOOLS          ,126,53,33,86,68.25
2013-2014,HOLT,450044000,STUART PUBLIC SCHOOLS         ,192,61,47,108,56.25
2013-2014,HOLT,450137000,CHAMBERS PUBLIC SCHOOLS       ,128,23,26,49,38.28
2013-2014,HOLT,450239000,WEST HOLT PUBLIC SCHOOLS      ,396,117,45,162,40.91
2013-2014,HOLT,450701000,ST MARY'S SCHOOLS             ,202,17,11,28,13.86
2013-2014,HOLT,450703000,ST JOSEPH'S ELEMENTARY SCHOOL ,52,,,15,28.85
2013-2014,HOOKER,460001000,MULLEN PUBLIC SCHOOLS         ,164,35,33,68,41.46
2013-2014,HOWARD,470001000,ST PAUL PUBLIC SCHOOLS        ,678,189,57,246,36.28
2013-2014,HOWARD,470100000,CENTURA PUBLIC SCHOOLS        ,511,98,84,182,35.62
2013-2014,HOWARD,470103000,ELBA PUBLIC SCHOOLS           ,76,27,19,46,60.53
2013-2014,JEFFERSON,480008000,FAIRBURY PUBLIC SCHOOLS       ,941,380,92,472,50.16
2013-2014,JEFFERSON,480300000,TRI COUNTY PUBLIC SCHOOLS     ,402,95,48,143,35.57
2013-2014,JEFFERSON,480303000,MERIDIAN PUBLIC SCHOOLS       ,174,57,20,77,44.25
2013-2014,JEFFERSON,480702000,ST PAUL'S LUTHERAN ELEM SCHOOL,63,,,,
2013-2014,JOHNSON,490033000,STERLING PUBLIC SCHOOLS       ,216,39,18,57,26.39
2013-2014,JOHNSON,490050000,JOHNSON CO CENTRAL PUBLIC SCHS,560,246,81,327,58.39
2013-2014,JOHNSON,490702000,ST ANDREW ELEMENTARY SCHOOL   ,25,,,23,92
2013-2014,KEARNEY,500001000,WILCOX-HILDRETH PUBLIC SCHOOLS,207,44,33,77,37.2
2013-2014,KEARNEY,500501000,AXTELL COMMUNITY SCHOOLS      ,273,40,26,66,24.18
2013-2014,KEARNEY,500503000,MINDEN PUBLIC SCHOOLS         ,778,210,102,312,40.1
2013-2014,KEITH,510001000,OGALLALA PUBLIC SCHOOLS       ,892,318,70,388,43.5
2013-2014,KEITH,510006000,PAXTON CONSOLIDATED SCHOOLS   ,233,79,18,97,41.63
2013-2014,KEITH,510701000,ST LUKE ELEMENTARY SCHOOL     ,60,,,,
2013-2014,KEITH,510702000,ST PAUL'S LUTHERAN ELEM SCHOOL,63,,,,
2013-2014,KEYA PAHA,520100000,KEYA PAHA COUNTY SCHOOLS      ,100,,,46,46
2013-2014,KIMBALL,530001000,KIMBALL PUBLIC SCHOOLS        ,533,214,99,313,58.72
2013-2014,KNOX,540013000,CREIGHTON COMMUNITY PUBLIC SCHOOLS      ,352,81,39,120,34.09
2013-2014,KNOX,540096000,CROFTON COMMUNITY SCHOOLS     ,332,48,63,111,33.43
2013-2014,KNOX,540501000,NIOBRARA PUBLIC SCHOOLS       ,203,134,21,155,76.35
2013-2014,KNOX,540505000,SANTEE COMMUNITY SCHOOLS      ,187,142,28,170,90.91
2013-2014,KNOX,540576000,WAUSA PUBLIC SCHOOLS          ,218,55,36,91,41.74
2013-2014,KNOX,540586000,BLOOMFIELD COMMUNITY SCHOOLS  ,242,53,40,93,38.43
2013-2014,KNOX,540701000,ST LUDGER ELEMENTARY SCHOOL   ,28,,,18,64.29
2013-2014,KNOX,540702000,ST ROSE OF LIMA ELEM SCHOOL   ,112,12,10,22,19.64
2013-2014,LANCASTER,550001000,LINCOLN PUBLIC SCHOOLS        ,37879,13991,2838,16829,44.43
2013-2014,LANCASTER,550145000,WAVERLY SCHOOL DISTRICT 145   ,1881,260,97,357,18.98
2013-2014,LANCASTER,550148000,MALCOLM PUBLIC SCHOOLS        ,508,33,20,53,10.43
2013-2014,LANCASTER,550160000,NORRIS SCHOOL DIST 160        ,2162,183,88,271,12.53
2013-2014,LANCASTER,550161000,RAYMOND CENTRAL PUBLIC SCHOOLS,573,90,23,113,19.72
2013-2014,LANCASTER,550605000,UNIVERSITY OF NEBRASKA HIGH SCHOOL,37,,,,
2013-2014,LANCASTER,550701000,BLESSED SACRAMENT ELEM SCHOOL ,233,62,12,74,31.76
2013-2014,LANCASTER,550702000,MESSIAH LUTHERAN ELEMENTARY  SCHOOL  ,266,,,,
2013-2014,LANCASTER,550703000,CATHEDRAL OF RISEN CHRIST ELEM,343,26,25,51,14.87
2013-2014,LANCASTER,550704000,LINCOLN CHRISTIAN SCHOOLS     ,643,35,64,99,15.4
2013-2014,LANCASTER,550706000,LINCOLN LUTHERAN MS/SR HIGH   ,335,11,10,21,6.27
2013-2014,LANCASTER,550707000,PIUS X HIGH SCHOOL            ,1111,42,58,100,9
2013-2014,LANCASTER,550708000,SACRED HEART ELEM SCHOOL      ,152,52,16,68,44.74
2013-2014,LANCASTER,550709000,COLLEGE VIEW ACADEMY      ,229,,,,
2013-2014,LANCASTER,550711000,GEORGE STONE ELEMENTARY S D A ,18,,,,
2013-2014,LANCASTER,550712000,ST JOHN'S ELEMENTARY SCHOOL   ,347,22,32,54,15.56
2013-2014,LANCASTER,550713000,ST MARK ELEMENTARY SCHOOL     ,22,,,,
2013-2014,LANCASTER,550714000,ST MARY'S ELEMENTARY SCHOOL   ,165,53,25,78,47.27
2013-2014,LANCASTER,550715000,ST PATRICK'S ELEMENTARY SCHOOL,140,33,11,44,31.43
2013-2014,LANCASTER,550716000,ST TERESA ELEMENTARY SCHOOL   ,295,30,29,59,20
2013-2014,LANCASTER,550717000,TRINITY LUTHERAN ELEM SCHOOL  ,105,,,16,15.24
2013-2014,LANCASTER,550719000,ST JOSEPH'S CATHOLIC SCHOOL   ,477,18,13,31,6.5
2013-2014,LANCASTER,550720000,VILLA MARIE SCHOOL            ,11,,,,
2013-2014,LANCASTER,550728000,FAITH LUTHERAN SCHOOL         ,315,,,18,5.71
2013-2014,LANCASTER,550734000,TRINITY KINDERGARTEN PROGRAM  ,7,,,,
2013-2014,LANCASTER,550743000,PRAIRIE HILL LEARNING CENTER  ,49,,,,
2013-2014,LANCASTER,550745000,CHILDREN'S CIRCLE MONTESSORI  ,35,,,,
2013-2014,LANCASTER,550753000,ST PETER'S CATHOLIC SCHOOL    ,483,,,19,3.93
2013-2014,LANCASTER,550754000,CHILD VIEW MONTESSORI         ,28,,,,
2013-2014,LANCASTER,550755000,PARKVIEW CHRISTIAN SCHOOLS    ,137,,,44,32.12
2013-2014,LANCASTER,550758000,NORTH AMERICAN MARTYRS SCHOOL ,577,50,18,68,11.79
2013-2014,LANCASTER,550762000,GOOD SHEPHERD LUTHERAN SCHOOL ,92,,,,
2013-2014,LANCASTER,550764000,CHRIST ELEMENTARY SCHOOL      ,100,,,,
2013-2014,LANCASTER,550765000,LINCOLN MONTESSORI SCHOOL,4,,,,
2013-2014,LANCASTER,550766000,ST MICHAEL CATHOLIC SCHOOL,271,,,,
2013-2014,LINCOLN,560001000,NORTH PLATTE PUBLIC SCHOOLS   ,4182,1478,339,1817,43.45
2013-2014,LINCOLN,560006000,BRADY PUBLIC SCHOOLS          ,204,53,38,91,44.61
2013-2014,LINCOLN,560007000,MAXWELL PUBLIC SCHOOLS        ,229,43,37,80,34.93
2013-2014,LINCOLN,560037000,HERSHEY PUBLIC SCHOOLS        ,575,93,44,137,23.83
2013-2014,LINCOLN,560055000,SUTHERLAND PUBLIC SCHOOLS     ,349,78,39,117,33.52
2013-2014,LINCOLN,560565000,WALLACE PUBLIC SCH DIST 65 R  ,190,46,10,56,29.47
2013-2014,LINCOLN,560701000,OUR REDEEMER LUTHERAN ELEM SCH,107,,,,
2013-2014,LINCOLN,560702000,NORTH PLATTE CATHOLIC SCHOOLS ,464,35,20,55,11.85
2013-2014,LINCOLN,560706000,PLATTE VALLEY CHRISTIAN ACADM ,13,,,,
2013-2014,LOGAN,570501000,STAPLETON PUBLIC SCHOOLS      ,189,48,15,63,33.33
2013-2014,LOUP,580025000,LOUP COUNTY PUBLIC SCHOOLS    ,77,,,33,42.86
2013-2014,MADISON,590001000,MADISON PUBLIC SCHOOLS        ,562,315,78,393,69.93
2013-2014,MADISON,590002000,NORFOLK PUBLIC SCHOOLS        ,4162,1650,402,2052,49.3
2013-2014,MADISON,590005000,BATTLE CREEK PUBLIC SCHOOLS   ,395,73,25,98,24.81
2013-2014,MADISON,590013000,NEWMAN GROVE PUBLIC SCHOOLS   ,173,50,31,81,46.82
2013-2014,MADISON,590080000,ELKHORN VALLEY SCHOOLS        ,322,84,32,116,36.02
2013-2014,MADISON,590702000,ST LEONARD'S ELEMENTARY SCHOOL,35,,,11,31.43
2013-2014,MADISON,590703000,TRINITY LUTHERAN ELEM SCHOOL  ,61,,,,
2013-2014,MADISON,590704000,NORFOLK CATHOLIC SCHOOLS      ,639,40,50,90,14.08
2013-2014,MADISON,590706000,CHRIST LUTHERAN ELEM SCHOOL   ,338,17,16,33,9.76
2013-2014,MADISON,590707000,ST PAUL LUTHERAN ELEM SCHOOL  ,98,,,11,11.22
2013-2014,MADISON,590708000,ST JOHN LUTHERAN ELEM SCHOOL  ,140,,,20,14.29
2013-2014,MADISON,590712000,KEYSTONE CHRISTIAN ACADEMY    ,58,,,,
2013-2014,MADISON,590714000,LUTHERAN HIGH NORTHEAST       ,130,,,,
2013-2014,MCPHERSON,600090000,MC PHERSON COUNTY SCHOOLS     ,94,,,,
2013-2014,MERRICK,610004000,CENTRAL CITY PUBLIC SCHOOLS   ,690,205,87,292,42.32
2013-2014,MERRICK,610049000,PALMER PUBLIC SCHOOLS         ,267,73,24,97,36.33
2013-2014,MERRICK,610701000,NEBRASKA CHRISTIAN SCHOOLS    ,204,,,,
2013-2014,MERRICK,610703000,ZION LUTHERAN ELEMENTARY SCH  ,25,,,,
2013-2014,MORRILL,620021000,BAYARD PUBLIC SCHOOLS         ,432,162,58,220,50.93
2013-2014,MORRILL,620063000,BRIDGEPORT PUBLIC SCHOOLS     ,477,189,72,261,54.72
2013-2014,NANCE,630001000,FULLERTON PUBLIC SCHOOLS      ,306,68,40,108,35.29
2013-2014,NANCE,630030000,TWIN RIVER PUBLIC SCHOOLS     ,475,92,55,147,30.95
2013-2014,NEMAHA,640023000,JOHNSON-BROCK PUBLIC SCHOOLS  ,325,69,56,125,38.46
2013-2014,NEMAHA,640029000,AUBURN PUBLIC SCHOOLS         ,873,268,75,343,39.29
2013-2014,NUCKOLLS,650011000,SUPERIOR PUBLIC SCHOOLS       ,488,151,80,231,47.34
2013-2014,NUCKOLLS,650701000,SACRED HEART ELEMENTARY SCHOOL,12,,,,
2013-2014,NUCKOLLS,652005000,SO CENTRAL NE UNIFIED SYSTEM 5,729,174,128,302,41.43
2013-2014,OTOE,660027000,SYRACUSE-DUNBAR-AVOCA SCHOOLS ,724,128,52,180,24.86
2013-2014,OTOE,660111000,NEBRASKA CITY PUBLIC SCHOOLS  ,1405,527,109,636,45.27
2013-2014,OTOE,660501000,PALMYRA DISTRICT O R 1        ,449,61,34,95,21.16
2013-2014,OTOE,660701000,NEBRASKA CITY LOURDES CENTRAL ,354,40,14,54,15.25
2013-2014,PAWNEE,670001000,PAWNEE CITY PUBLIC SCHOOLS    ,291,92,40,132,45.36
2013-2014,PAWNEE,670069000,LEWISTON CONSOLIDATED SCHOOLS ,192,69,26,95,49.48
2013-2014,PERKINS,680020000,PERKINS COUNTY SCHOOLS        ,403,92,63,155,38.46
2013-2014,PHELPS,690044000,HOLDREGE PUBLIC SCHOOLS       ,1123,288,125,413,36.78
2013-2014,PHELPS,690054000,BERTRAND PUBLIC SCHOOLS       ,263,59,33,92,34.98
2013-2014,PHELPS,690055000,LOOMIS PUBLIC SCHOOLS         ,188,33,22,55,29.26
2013-2014,PHELPS,690705000,ALL SAINTS CATHOLIC SCHOOL    ,59,,,,
2013-2014,PIERCE,700002000,PIERCE PUBLIC SCHOOLS         ,685,89,66,155,22.63
2013-2014,PIERCE,700005000,PLAINVIEW PUBLIC SCHOOLS      ,344,89,44,133,38.66
2013-2014,PIERCE,700542000,OSMOND COMMUNITY SCHOOLS         ,209,44,22,66,31.58
2013-2014,PIERCE,700701000,ZION LUTHERAN ELEMENTARY SCH  ,91,,,21,23.08
2013-2014,PIERCE,700702000,ZION LUTHERAN ELEMENTARY SCH  ,40,,,12,30
2013-2014,PIERCE,700703000,IMMANUEL LUTHERAN ELEM SCH    ,24,,,,
2013-2014,PIERCE,700705000,ST MARY ELEMENTARY SCHOOL     ,43,,,22,51.16
2013-2014,PLATTE,710001000,COLUMBUS PUBLIC SCHOOLS       ,3756,1420,495,1915,50.99
2013-2014,PLATTE,710005000,LAKEVIEW COMMUNITY SCHOOLS    ,741,220,81,301,40.62
2013-2014,PLATTE,710067000,HUMPHREY PUBLIC SCHOOLS       ,248,55,20,75,30.24
2013-2014,PLATTE,710701000,IMMANUEL LUTHERAN ELEM SCHOOL ,155,,,21,13.55
2013-2014,PLATTE,710702000,ST ANTHONY ELEMENTARY SCHOOL  ,105,14,23,37,35.24
2013-2014,PLATTE,710703000,ST BONAVENTURE ELEM SCHOOL    ,190,20,15,35,18.42
2013-2014,PLATTE,710704000,ST ISIDORE ELEMENTARY SCHOOL  ,249,,,,
2013-2014,PLATTE,710705000,SCOTUS CENTRAL CATHOLIC       ,396,21,27,48,12.12
2013-2014,PLATTE,710706000,HOLY FAMILY SCHOOLS           ,98,,,14,14.29
2013-2014,PLATTE,710708000,ST FRANCIS SCHOOLS            ,208,,,33,15.87
2013-2014,PLATTE,710710000,ST JOHN LUTHERAN ELEM SCHOOL  ,21,,,,
2013-2014,PLATTE,710711000,CHRIST LUTHERAN ELEMENTARY SCH,27,,,,
2013-2014,PLATTE,710712000,COLUMBUS CHRISTIAN SCHOOL     ,61,,,14,22.95
2013-2014,PLATTE,710715000,COLUMBUS SDA SCHOOL           ,15,,,,
2013-2014,POLK,720015000,CROSS COUNTY COMMUNITY SCHOOLS,364,98,24,122,33.52
2013-2014,POLK,720019000,OSCEOLA PUBLIC SCHOOLS        ,247,48,32,80,32.39
2013-2014,POLK,720032000,SHELBY - RISING CITY PUBLIC SCHOOLS         ,399,118,35,153,38.35
2013-2014,POLK,720075000,HIGH PLAINS COMMUNITY SCHOOLS ,231,68,39,107,46.32
2013-2014,POLK,720701000,POLK COUNTY CHRISTIAN SCHOOL  ,16,,,,
2013-2014,RED WILLOW,730017000,MC COOK PUBLIC SCHOOLS        ,1437,418,150,568,39.53
2013-2014,RED WILLOW,730179000,SOUTHWEST PUBLIC SCHOOLS      ,301,102,58,160,53.16
2013-2014,RED WILLOW,730701000,ST PATRICK'S ELEMENTARY SCHOOL,176,12,15,27,15.34
2013-2014,RICHARDSON,740056000,FALLS CITY PUBLIC SCHOOLS     ,826,352,108,460,55.69
2013-2014,RICHARDSON,740070000,HUMBOLDT TABLE ROCK STEINAUER ,383,157,46,203,53
2013-2014,RICHARDSON,740702000,SACRED HEART SCHOOLS          ,228,18,21,39,17.11
2013-2014,ROCK,750100000,ROCK COUNTY PUBLIC SCHOOLS    ,201,45,36,81,40.3
2013-2014,SALINE,760002000,CRETE PUBLIC SCHOOLS          ,1830,831,172,1003,54.81
2013-2014,SALINE,760044000,DORCHESTER PUBLIC SCHOOLS     ,177,51,22,73,41.24
2013-2014,SALINE,760068000,FRIEND PUBLIC SCHOOLS         ,275,54,28,82,29.82
2013-2014,SALINE,760082000,WILBER-CLATONIA PUBLIC SCHOOLS,583,147,48,195,33.45
2013-2014,SALINE,760701000,ST JAMES ELEMENTARY SCHOOL    ,94,,,43,45.74
2013-2014,SALINE,760703000,ZION LUTHERAN ELEMENTARY SCH  ,21,,,,
2013-2014,SARPY,770001000,BELLEVUE PUBLIC SCHOOLS       ,10085,2688,1066,3754,37.22
2013-2014,SARPY,770027000,PAPILLION-LA VISTA PUBLIC SCHS,11137,1813,643,2456,22.05
2013-2014,SARPY,770037000,GRETNA PUBLIC SCHOOLS         ,3688,189,188,377,10.22
2013-2014,SARPY,770046000,SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,1082,120,111,231,21.35
2013-2014,SARPY,770701000,ST MARY ELEMENTARY SCHOOL     ,204,,,27,13.24
2013-2014,SARPY,770702000,ST BERNADETTE ELEMENTARY SCH  ,271,38,13,51,18.82
2013-2014,SARPY,770703000,DANIEL J GROSS CATHOLIC HIGH  ,433,,,,
2013-2014,SARPY,770705000,ST COLUMBKILLE ELEMENTARY SCH ,510,,,24,4.71
2013-2014,SARPY,770706000,ST MATTHEW THE EVANGELIST SCH ,111,,,23,20.72
2013-2014,SARPY,770713000,CORNERSTONE CHRISTIAN SCHOOLS ,232,,,,
2013-2014,SAUNDERS,780001000,ASHLAND-GREENWOOD PUBLIC SCHS ,862,224,81,305,35.38
2013-2014,SAUNDERS,780009000,YUTAN PUBLIC SCHOOLS          ,477,101,30,131,27.46
2013-2014,SAUNDERS,780039000,WAHOO PUBLIC SCHOOLS          ,994,246,79,325,32.7
2013-2014,SAUNDERS,780072000,MEAD PUBLIC SCHOOLS           ,252,70,17,87,34.52
2013-2014,SAUNDERS,780107000,CEDAR BLUFFS PUBLIC SCHOOLS   ,223,70,25,95,42.6
2013-2014,SAUNDERS,780701000,ST WENCESLAUS ELEMENTARY SCH  ,305,20,20,40,13.11
2013-2014,SAUNDERS,780702000,BISHOP NEUMANN HIGH SCHOOL    ,307,19,20,39,12.7
2013-2014,SAUNDERS,780703000,ST JOHN NEPOMUCENE ELEM SCHOOL,55,,,10,18.18
2013-2014,SCOTTS BLUFF,790002000,MINATARE PUBLIC SCHOOLS       ,231,134,31,165,71.43
2013-2014,SCOTTS BLUFF,790011000,MORRILL PUBLIC SCHOOLS        ,390,185,38,223,57.18
2013-2014,SCOTTS BLUFF,790016000,GERING PUBLIC SCHOOLS         ,2145,765,238,1003,46.76
2013-2014,SCOTTS BLUFF,790031000,MITCHELL PUBLIC SCHOOLS       ,682,215,99,314,46.04
2013-2014,SCOTTS BLUFF,790032000,SCOTTSBLUFF PUBLIC SCHOOLS    ,3107,1549,347,1896,61.02
2013-2014,SCOTTS BLUFF,790702000,ST AGNES ELEMENTARY SCHOOL    ,106,,,25,23.58
2013-2014,SCOTTS BLUFF,790703000,VALLEY VIEW SDA CHRISITAN SCH ,8,,,,
2013-2014,SCOTTS BLUFF,790705000,COMMUNITY CHRISTIAN SCHOOLS   ,192,,,,
2013-2014,SEWARD,800005000,MILFORD PUBLIC SCHOOLS        ,696,88,22,110,15.8
2013-2014,SEWARD,800009000,SEWARD PUBLIC SCHOOLS         ,1415,183,148,331,23.39
2013-2014,SEWARD,800567000,CENTENNIAL PUBLIC SCHOOLS     ,468,149,40,189,40.38
2013-2014,SEWARD,800701000,ST JOHN LUTHERAN SCHOOL       ,151,,,24,15.89
2013-2014,SEWARD,800703000,OUR REDEEMER LUTHERAN ELEM SCH,60,,,,
2013-2014,SEWARD,800704000,ST PAUL'S LUTHERAN ELEM SCHOOL,81,,,20,24.69
2013-2014,SEWARD,800710000,ST VINCENT DEPAUL CATHOLIC SCH,67,,,11,16.42
2013-2014,SHERIDAN,810003000,HAY SPRINGS PUBLIC SCHOOLS    ,176,78,15,93,52.84
2013-2014,SHERIDAN,810010000,GORDON-RUSHVILLE PUBLIC SCHS  ,696,351,68,419,60.2
2013-2014,SHERMAN,820001000,LOUP CITY PUBLIC SCHOOLS      ,355,103,60,163,45.92
2013-2014,SHERMAN,820015000,LITCHFIELD PUBLIC SCHOOLS     ,106,46,19,65,61.32
2013-2014,SIOUX,830500000,SIOUX COUNTY PUBLIC SCHOOLS   ,106,,,26,24.53
2013-2014,STANTON,840003000,STANTON COMMUNITY SCHOOLS     ,455,132,59,191,41.98
2013-2014,THAYER,850060000,DESHLER PUBLIC SCHOOLS        ,247,48,40,88,35.63
2013-2014,THAYER,850070000,THAYER CENTRAL COMMUNITY SCHS ,409,81,40,121,29.58
2013-2014,THAYER,850703000,DESHLER LUTHERAN ELEM SCHOOL  ,49,,,15,30.61
2013-2014,THAYER,852001000,BRUNING-DAVENPORT UNIFIED SYS ,164,34,18,52,31.71
2013-2014,THOMAS,860001000,THEDFORD PUBLIC SCHOOLS       ,95,24,16,40,42.11
2013-2014,THURSTON,870001000,PENDER PUBLIC SCHOOLS         ,368,93,41,134,36.41
2013-2014,THURSTON,870013000,WALTHILL PUBLIC SCHOOLS       ,362,,,292,80.66
2013-2014,THURSTON,870016000,UMO N HO N NATION PUBLIC SCHS ,468,402,23,425,90.81
2013-2014,THURSTON,870017000,WINNEBAGO PUBLIC SCHOOLS      ,564,428,46,474,84.04
2013-2014,THURSTON,870701000,ST AUGUSTINE ELEMENTARY SCH   ,107,62,18,80,74.77
2013-2014,THURSTON,870710000,JESUS OUR SAVIOR LUTHERAN SCHOOL,6,,,,
2013-2014,VALLEY,880005000,ORD PUBLIC SCHOOLS            ,580,175,46,221,38.1
2013-2014,VALLEY,880021000,ARCADIA PUBLIC SCHOOLS        ,124,35,27,62,50
2013-2014,VALLEY,880701000,ST MARY'S ELEMENTARY SCHOOL   ,40,,,18,45
2013-2014,WASHINGTON,890001000,BLAIR COMMUNITY SCHOOLS       ,2311,446,150,596,25.79
2013-2014,WASHINGTON,890003000,FORT CALHOUN COMMUNITY SCHS   ,607,66,56,122,20.1
2013-2014,WASHINGTON,890024000,ARLINGTON PUBLIC SCHOOLS      ,582,74,52,126,21.65
2013-2014,WASHINGTON,890701000,ST PAUL'S LUTHERAN ELEM SCHOOL,82,,,,
2013-2014,WASHINGTON,890702000,IMMANUEL LUTHERAN ELEM SCHOOL ,4,,,,
2013-2014,WAYNE,900017000,WAYNE COMMUNITY SCHOOLS       ,887,204,74,278,31.34
2013-2014,WAYNE,900560000,WAKEFIELD PUBLIC SCHOOLS      ,445,172,61,233,52.36
2013-2014,WAYNE,900595000,WINSIDE PUBLIC SCHOOLS        ,213,32,50,82,38.5
2013-2014,WAYNE,900701000,TRINITY LUTHERAN SCHOOLS      ,25,,,,
2013-2014,WAYNE,900702000,ST MARY'S ELEMENTARY SCHOOL   ,38,,,,
2013-2014,WEBSTER,910002000,RED CLOUD COMMUNITY SCHOOLS   ,257,97,55,152,59.14
2013-2014,WEBSTER,910074000,BLUE HILL PUBLIC SCHOOLS      ,332,75,25,100,30.12
2013-2014,WHEELER,920045000,WHEELER CENTRAL SCHOOLS       ,105,23,30,53,50.48
2013-2014,YORK,930012000,YORK PUBLIC SCHOOLS           ,1366,444,160,604,44.22
2013-2014,YORK,930083000,MC COOL JUNCTION PUBLIC SCHS  ,265,73,47,120,45.28
2013-2014,YORK,930096000,HEARTLAND COMMUNITY SCHOOLS   ,318,62,27,89,27.99
2013-2014,YORK,930701000,EMMANUEL LUTHERAN ELEM SCHOOL ,144,37,12,49,34.03
2013-2014,YORK,930702000,ST JOSEPH'S ELEMENTARY SCHOOL ,128,,,21,16.41
2013-2014,YORK,930703000,NEBRASKA EV LUTHERAN SCHOOLS  ,112,,,12,10.71
